Category: All categories

Month,PTSD: (Wisconsin),Anxiety: (Wisconsin),ADHD: (Wisconsin),Aggressive: (Wisconsin),Dementia: (Wisconsin)
2021-05,14,81,32,13,21
2021-06,13,78,30,13,23
2021-07,14,80,30,12,21
2021-08,13,84,36,11,20
2021-09,13,84,37,12,22
2021-10,12,83,41,12,22
2021-11,14,82,41,11,22
2021-12,13,80,34,12,21
2022-01,11,91,42,11,22
2022-02,14,86,43,13,22
2022-03,14,88,48,14,27
2022-04,16,89,48,13,26
2022-05,15,80,42,13,23
2022-06,13,80,39,13,25
2022-07,12,83,38,14,24
2022-08,12,79,41,13,25
2022-09,13,87,43,13,25
2022-10,15,85,52,14,26
2022-11,13,81,49,13,24
2022-12,11,91,50,12,25
2023-01,13,86,54,12,26
2023-02,15,93,54,12,35
2023-03,15,91,61,13,30
2023-04,13,92,59,13,30
2023-05,14,83,58,15,28
2023-06,13,78,49,15,28
2023-07,13,80,47,13,27
2023-08,10,83,50,14,26
2023-09,12,79,53,14,26
2023-10,13,80,57,13,26
2023-11,14,78,54,15,29
2023-12,12,77,51,13,29
2024-01,13,82,53,13,30
2024-02,16,79,59,14,36
2024-03,13,81,54,14,29
2024-04,14,70,56,14,29
2024-05,14,79,52,15,27
2024-06,14,89,50,13,26
2024-07,12,78,51,14,31
2024-08,12,76,48,12,27
2024-09,12,91,57,13,28
2024-10,14,91,59,13,29
2024-11,14,78,55,12,25
2024-12,13,82,52,13,32
2025-01,13,81,59,13,31
2025-02,14,92,64,13,30
2025-03,14,100,60,14,32
