Category: All categories

Month,PTSD: (California),Anxiety: (California),ADHD: (California),Aggressive: (California),Dementia: (California)
2021-06,15,91,35,14,21
2021-07,14,91,36,13,19
2021-08,13,92,38,12,19
2021-09,13,98,40,14,20
2021-10,15,95,41,13,22
2021-11,15,86,41,13,21
2021-12,14,81,39,12,18
2022-01,13,91,46,13,20
2022-02,15,96,47,15,23
2022-03,14,95,51,15,22
2022-04,14,97,50,15,23
2022-05,16,92,47,15,22
2022-06,14,87,43,14,21
2022-07,15,93,44,14,23
2022-08,13,93,48,14,24
2022-09,12,90,52,13,22
2022-10,14,92,49,14,25
2022-11,14,83,47,14,22
2022-12,13,83,47,12,23
2023-01,13,91,51,13,24
2023-02,15,90,57,14,41
2023-03,15,94,59,15,30
2023-04,14,89,57,14,26
2023-05,14,89,60,14,27
2023-06,14,87,54,15,27
2023-07,13,86,51,14,25
2023-08,12,89,54,14,25
2023-09,13,89,59,15,27
2023-10,13,87,56,14,25
2023-11,14,85,54,14,26
2023-12,13,81,51,15,27
2024-01,13,83,52,14,29
2024-02,14,83,58,14,35
2024-03,14,90,57,15,29
2024-04,15,84,59,15,28
2024-05,14,80,57,15,26
2024-06,13,95,54,14,25
2024-07,13,92,53,14,31
2024-08,13,87,60,13,27
2024-09,13,92,60,14,26
2024-10,13,95,62,13,26
2024-11,13,79,57,14,27
2024-12,13,80,56,13,28
2025-01,14,84,56,13,29
2025-02,15,86,61,15,29
2025-03,15,93,59,15,29
