Category: All categories

Month,PTSD: (Washington),Anxiety: (Washington),ADHD: (Washington),Aggressive: (Washington),Dementia: (Washington)
2021-06,15,81,44,14,22
2021-07,16,82,46,14,22
2021-08,15,79,48,13,19
2021-09,13,82,50,13,20
2021-10,16,81,52,13,24
2021-11,15,85,55,12,23
2021-12,14,70,48,13,21
2022-01,17,86,57,16,22
2022-02,16,95,71,15,22
2022-03,18,95,63,17,25
2022-04,18,87,60,16,24
2022-05,18,83,56,15,24
2022-06,16,76,56,14,24
2022-07,15,77,55,15,24
2022-08,15,76,57,15,26
2022-09,14,82,62,14,22
2022-10,17,80,73,16,25
2022-11,17,78,65,14,25
2022-12,15,74,60,13,26
2023-01,17,93,68,15,28
2023-02,18,89,75,15,43
2023-03,19,85,68,16,32
2023-04,18,91,67,15,29
2023-05,16,79,75,15,29
2023-06,17,76,67,15,28
2023-07,15,75,61,15,27
2023-08,14,77,62,15,27
2023-09,14,72,65,14,27
2023-10,18,77,69,14,28
2023-11,16,78,65,14,32
2023-12,15,74,65,14,30
2024-01,15,77,62,14,30
2024-02,16,78,76,14,35
2024-03,18,77,71,13,30
2024-04,17,74,76,14,29
2024-05,16,73,75,14,27
2024-06,16,78,67,14,27
2024-07,14,74,63,14,31
2024-08,15,76,68,14,29
2024-09,15,79,67,14,30
2024-10,16,85,75,13,29
2024-11,15,75,64,14,29
2024-12,17,79,71,13,32
2025-01,17,77,70,14,32
2025-02,17,79,69,15,30
2025-03,16,100,80,15,30
