Category: All categories

Month,PTSD: (Maryland),Anxiety: (Maryland),ADHD: (Maryland),Aggressive: (Maryland),Dementia: (Maryland)
2021-05,15,82,38,14,23
2021-06,14,81,37,14,20
2021-07,15,85,38,14,21
2021-08,15,83,36,12,20
2021-09,15,88,38,12,22
2021-10,16,90,47,14,24
2021-11,16,91,44,14,23
2021-12,14,80,41,13,24
2022-01,14,91,48,13,23
2022-02,15,90,51,15,26
2022-03,16,93,56,15,26
2022-04,18,87,49,16,26
2022-05,16,76,49,14,23
2022-06,14,81,47,15,25
2022-07,14,83,44,15,26
2022-08,12,79,48,14,24
2022-09,15,78,50,14,24
2022-10,16,91,56,16,25
2022-11,16,81,51,14,26
2022-12,16,81,52,14,26
2023-01,15,95,57,14,26
2023-02,17,89,65,15,44
2023-03,15,88,66,15,32
2023-04,15,82,58,15,28
2023-05,14,85,63,14,30
2023-06,15,85,56,14,28
2023-07,14,79,52,15,26
2023-08,14,86,54,15,27
2023-09,15,85,59,13,28
2023-10,15,80,53,14,28
2023-11,16,82,60,15,29
2023-12,14,71,57,14,32
2024-01,14,80,57,13,30
2024-02,16,90,65,14,41
2024-03,16,86,62,15,34
2024-04,17,85,63,16,30
2024-05,15,79,60,16,27
2024-06,15,81,59,16,31
2024-07,14,86,57,16,33
2024-08,14,88,61,13,28
2024-09,15,76,65,13,27
2024-10,15,88,67,15,29
2024-11,15,81,64,15,30
2024-12,14,76,61,14,32
2025-01,14,81,64,13,32
2025-02,16,83,65,16,32
2025-03,16,100,68,16,33
