Category: All categories

Month,PTSD: (District of Columbia),Anxiety: (District of Columbia),ADHD: (District of Columbia),Aggressive: (District of Columbia),Dementia: (District of Columbia)
2021-05,13,83,35,15,61
2021-06,15,87,39,13,28
2021-07,14,84,37,11,29
2021-08,15,92,40,10,28
2021-09,17,86,47,13,30
2021-10,16,89,46,10,36
2021-11,19,85,47,13,25
2021-12,14,91,47,12,20
2022-01,15,100,53,16,19
2022-02,20,98,50,16,20
2022-03,15,81,59,15,18
2022-04,18,88,64,12,28
2022-05,17,83,49,16,21
2022-06,14,84,52,12,27
2022-07,14,95,50,12,23
2022-08,16,82,50,11,18
2022-09,16,84,61,12,20
2022-10,16,88,66,10,22
2022-11,14,87,52,16,23
2022-12,15,91,56,13,26
2023-01,16,92,58,15,22
2023-02,19,91,62,14,30
2023-03,15,79,58,10,23
2023-04,15,82,71,11,24
2023-05,14,80,72,17,18
2023-06,16,76,54,11,18
2023-07,17,80,59,16,21
2023-08,14,82,63,13,25
2023-09,13,86,63,12,20
2023-10,18,77,63,12,26
2023-11,17,81,68,11,27
2023-12,15,71,55,16,22
2024-01,13,70,63,12,23
2024-02,17,85,67,12,34
2024-03,16,69,58,10,25
2024-04,14,85,70,13,27
2024-05,13,69,62,12,18
2024-06,16,77,60,11,26
2024-07,13,81,58,9,27
2024-08,14,80,65,11,22
2024-09,14,75,70,9,20
2024-10,16,80,78,12,23
2024-11,13,76,69,12,25
2024-12,11,78,69,10,27
2025-01,14,79,62,13,35
2025-02,20,85,67,13,37
2025-03,17,96,68,12,33
