Category: All categories

Month,PTSD: (Michigan),Anxiety: (Michigan),ADHD: (Michigan),Aggressive: (Michigan),Dementia: (Michigan)
2021-05,12,75,34,13,22
2021-06,12,63,32,12,22
2021-07,11,78,33,12,21
2021-08,11,76,36,12,19
2021-09,12,82,38,12,21
2021-10,13,81,43,12,24
2021-11,11,80,41,12,22
2021-12,11,78,36,12,22
2022-01,11,84,43,13,23
2022-02,12,89,44,15,26
2022-03,13,92,48,15,25
2022-04,15,100,46,16,26
2022-05,14,84,40,16,21
2022-06,12,76,40,14,24
2022-07,11,71,40,15,24
2022-08,11,84,44,14,26
2022-09,12,81,43,14,24
2022-10,14,80,49,14,27
2022-11,13,71,49,14,25
2022-12,12,82,49,13,25
2023-01,14,94,51,15,27
2023-02,15,93,56,15,38
2023-03,14,97,55,15,30
2023-04,12,90,55,15,29
2023-05,14,83,57,16,28
2023-06,12,76,52,15,27
2023-07,12,76,46,15,25
2023-08,11,78,50,15,27
2023-09,11,77,50,15,26
2023-10,14,76,54,14,28
2023-11,13,79,55,14,29
2023-12,12,74,52,12,28
2024-01,10,78,49,13,28
2024-02,13,89,60,14,36
2024-03,13,71,52,14,30
2024-04,14,84,58,15,29
2024-05,12,69,49,14,27
2024-06,12,79,51,14,27
2024-07,11,78,48,13,31
2024-08,11,73,52,13,29
2024-09,11,77,56,13,25
2024-10,12,81,58,13,27
2024-11,12,78,51,13,27
2024-12,11,73,54,13,30
2025-01,12,77,59,13,30
2025-02,13,84,62,15,30
2025-03,14,99,64,16,30
