Category: All categories

Month,PTSD: (Nebraska),Anxiety: (Nebraska),ADHD: (Nebraska),Aggressive: (Nebraska),Dementia: (Nebraska)
2021-05,14,76,38,13,22
2021-06,12,84,35,12,20
2021-07,12,80,36,12,19
2021-08,13,83,43,12,21
2021-09,13,86,43,9,24
2021-10,13,87,47,11,23
2021-11,14,90,44,10,22
2021-12,12,84,41,12,20
2022-01,13,79,45,11,21
2022-02,13,88,52,12,24
2022-03,16,89,52,12,28
2022-04,18,97,50,15,26
2022-05,15,86,52,15,22
2022-06,15,86,45,16,20
2022-07,16,87,44,15,26
2022-08,15,92,46,12,25
2022-09,15,86,52,15,25
2022-10,14,86,52,12,23
2022-11,14,81,51,14,27
2022-12,12,83,53,12,27
2023-01,15,97,56,12,28
2023-02,14,95,63,18,38
2023-03,16,91,63,15,29
2023-04,15,92,60,16,28
2023-05,17,84,60,16,28
2023-06,15,82,52,12,27
2023-07,14,88,56,15,25
2023-08,13,90,54,15,28
2023-09,13,84,57,17,29
2023-10,14,88,60,14,30
2023-11,15,87,54,15,29
2023-12,14,72,52,13,25
2024-01,13,85,54,13,30
2024-02,13,91,54,14,33
2024-03,14,77,55,14,31
2024-04,15,79,55,13,25
2024-05,15,71,54,13,28
2024-06,13,79,51,12,27
2024-07,12,88,56,13,32
2024-08,12,79,58,12,27
2024-09,14,83,62,13,27
2024-10,15,87,62,14,30
2024-11,15,84,58,16,25
2024-12,14,85,58,13,29
2025-01,14,93,59,14,32
2025-02,16,87,65,16,32
2025-03,15,100,65,16,33
