Category: All categories

Month,PTSD: (Alabama),Anxiety: (Alabama),ADHD: (Alabama),Aggressive: (Alabama),Dementia: (Alabama)
2021-05,11,75,29,12,20
2021-06,15,80,30,11,22
2021-07,13,82,30,13,23
2021-08,13,89,33,11,21
2021-09,12,87,39,11,20
2021-10,14,87,39,11,23
2021-11,13,82,37,11,23
2021-12,13,75,30,9,24
2022-01,13,85,36,13,23
2022-02,15,91,44,15,26
2022-03,14,91,43,13,24
2022-04,16,90,44,15,23
2022-05,13,79,37,14,21
2022-06,13,84,39,14,25
2022-07,14,83,40,15,25
2022-08,13,91,44,13,24
2022-09,15,83,49,13,24
2022-10,13,85,46,14,24
2022-11,14,76,40,13,28
2022-12,12,76,42,13,24
2023-01,13,86,51,13,24
2023-02,15,88,53,13,35
2023-03,15,90,51,14,31
2023-04,13,86,53,14,30
2023-05,14,83,49,13,29
2023-06,12,83,44,16,26
2023-07,13,80,41,13,28
2023-08,14,84,50,12,27
2023-09,13,84,52,14,27
2023-10,13,82,51,14,26
2023-11,13,83,48,13,26
2023-12,11,75,42,14,29
2024-01,12,80,47,12,32
2024-02,12,85,55,15,38
2024-03,14,77,50,14,29
2024-04,13,83,52,15,28
2024-05,13,74,46,13,25
2024-06,13,81,45,14,32
2024-07,12,85,44,12,33
2024-08,13,83,53,13,27
2024-09,12,86,51,13,25
2024-10,14,88,55,15,27
2024-11,13,77,51,14,28
2024-12,12,76,50,13,30
2025-01,12,81,52,12,31
2025-02,14,90,60,16,28
2025-03,15,100,53,15,33
