Category: All categories

Month,PTSD: (Pennsylvania),Anxiety: (Pennsylvania),ADHD: (Pennsylvania),Aggressive: (Pennsylvania),Dementia: (Pennsylvania)
2021-04,12,89,30,11,22
2021-05,11,82,33,12,19
2021-06,12,82,29,11,21
2021-07,12,82,29,12,21
2021-08,11,85,32,11,19
2021-09,11,86,32,11,21
2021-10,12,86,34,11,21
2021-11,13,81,34,11,22
2021-12,11,81,33,10,19
2022-01,12,87,39,10,22
2022-02,13,100,39,13,23
2022-03,13,90,42,13,25
2022-04,15,90,42,13,22
2022-05,14,79,35,14,21
2022-06,12,79,35,12,23
2022-07,12,85,36,12,22
2022-08,11,84,39,13,24
2022-09,13,84,40,13,21
2022-10,13,83,41,13,23
2022-11,14,79,40,11,23
2022-12,12,80,39,12,22
2023-01,13,87,45,12,23
2023-02,13,93,47,14,33
2023-03,14,90,49,13,29
2023-04,13,81,49,13,28
2023-05,12,79,45,14,26
2023-06,12,75,41,13,26
2023-07,11,80,39,13,25
2023-08,11,81,42,12,25
2023-09,12,80,44,12,25
2023-10,13,81,48,12,25
2023-11,12,80,46,12,27
2023-12,11,76,40,11,27
2024-01,11,82,44,12,27
2024-02,12,85,49,13,32
2024-03,12,79,47,13,29
2024-04,12,81,45,13,26
2024-05,11,76,45,13,24
2024-06,12,77,43,13,26
2024-07,10,78,42,12,29
2024-08,10,81,47,12,27
2024-09,12,85,46,12,23
2024-10,12,87,50,13,25
2024-11,11,78,47,12,25
2024-12,11,76,45,12,27
2025-01,12,84,49,12,28
2025-02,14,84,54,13,27
2025-03,14,93,54,14,30
