Category: All categories

Month,PTSD: (Missouri),Anxiety: (Missouri),ADHD: (Missouri),Aggressive: (Missouri),Dementia: (Missouri)
2021-05,15,77,34,12,21
2021-06,13,78,33,12,21
2021-07,12,80,34,12,20
2021-08,12,90,39,12,18
2021-09,12,88,42,12,20
2021-10,13,83,44,13,22
2021-11,12,90,38,13,22
2021-12,12,79,35,12,20
2022-01,13,92,40,12,21
2022-02,15,92,44,13,22
2022-03,16,84,48,14,23
2022-04,16,88,50,13,23
2022-05,15,85,43,14,22
2022-06,13,72,40,14,21
2022-07,14,84,41,14,23
2022-08,13,80,47,14,23
2022-09,14,80,52,14,23
2022-10,15,86,52,14,25
2022-11,14,78,47,14,24
2022-12,13,75,48,14,24
2023-01,14,88,54,14,24
2023-02,15,86,58,14,36
2023-03,15,80,58,14,29
2023-04,14,80,59,15,29
2023-05,14,81,58,14,26
2023-06,13,86,50,15,27
2023-07,13,80,50,14,24
2023-08,13,80,50,13,26
2023-09,12,84,55,14,25
2023-10,13,80,57,13,27
2023-11,14,88,53,13,26
2023-12,12,69,51,14,29
2024-01,12,78,51,13,28
2024-02,13,76,57,14,32
2024-03,13,82,55,15,28
2024-04,14,84,56,15,27
2024-05,13,77,51,14,25
2024-06,13,81,51,15,23
2024-07,12,89,51,13,28
2024-08,13,86,53,13,27
2024-09,15,71,57,15,26
2024-10,15,80,62,15,27
2024-11,12,88,59,14,27
2024-12,14,81,56,12,29
2025-01,13,80,58,14,27
2025-02,15,83,61,16,29
2025-03,15,100,60,15,29
