Category: All categories

Month,PTSD: (South Carolina),Anxiety: (South Carolina),ADHD: (South Carolina),Aggressive: (South Carolina),Dementia: (South Carolina)
2021-05,14,79,28,13,23
2021-06,14,84,29,14,21
2021-07,14,83,29,13,22
2021-08,13,87,33,12,22
2021-09,13,92,35,12,21
2021-10,15,89,38,14,24
2021-11,14,82,36,13,23
2021-12,13,84,31,12,25
2022-01,13,85,37,15,23
2022-02,13,91,40,15,26
2022-03,15,84,43,15,26
2022-04,16,88,43,16,27
2022-05,14,84,37,15,25
2022-06,15,85,37,14,25
2022-07,14,78,36,14,28
2022-08,13,89,44,14,27
2022-09,15,83,46,14,26
2022-10,14,80,48,15,26
2022-11,15,81,43,13,25
2022-12,13,87,42,15,24
2023-01,14,100,50,14,28
2023-02,14,88,52,15,38
2023-03,14,92,53,15,31
2023-04,15,82,51,14,30
2023-05,14,79,51,16,31
2023-06,14,84,47,15,30
2023-07,14,82,45,14,28
2023-08,13,80,48,15,30
2023-09,13,79,50,15,25
2023-10,16,88,54,16,29
2023-11,13,84,49,14,31
2023-12,12,79,44,15,29
2024-01,13,87,47,13,30
2024-02,13,84,52,16,36
2024-03,14,82,50,14,30
2024-04,14,83,50,15,31
2024-05,14,79,47,15,27
2024-06,13,86,45,15,29
2024-07,13,77,45,15,34
2024-08,13,81,50,14,30
2024-09,13,84,53,14,27
2024-10,14,83,53,16,26
2024-11,13,84,50,15,28
2024-12,12,80,49,15,33
2025-01,13,84,53,14,32
2025-02,14,92,59,16,33
2025-03,14,97,56,18,34
