Category: All categories

Month,PTSD: (Oregon),Anxiety: (Oregon),ADHD: (Oregon),Aggressive: (Oregon),Dementia: (Oregon)
2021-05,17,90,52,15,22
2021-06,17,86,47,14,23
2021-07,16,87,46,16,24
2021-08,16,87,51,14,22
2021-09,13,95,50,14,24
2021-10,15,94,54,14,26
2021-11,17,84,51,14,24
2021-12,16,81,49,13,22
2022-01,17,97,62,13,24
2022-02,18,100,69,15,26
2022-03,19,92,67,14,28
2022-04,20,92,67,16,27
2022-05,19,91,67,16,25
2022-06,18,87,60,15,27
2022-07,16,84,53,14,28
2022-08,15,93,62,15,30
2022-09,17,94,61,14,24
2022-10,18,94,65,14,26
2022-11,18,87,66,13,28
2022-12,16,85,63,14,27
2023-01,19,91,76,14,29
2023-02,20,97,78,16,42
2023-03,20,91,82,15,36
2023-04,17,68,80,15,32
2023-05,18,85,78,16,32
2023-06,17,85,72,16,34
2023-07,16,83,65,16,32
2023-08,17,86,69,16,30
2023-09,17,87,71,15,29
2023-10,19,87,76,15,31
2023-11,18,87,76,14,36
2023-12,16,82,64,13,34
2024-01,16,87,70,14,34
2024-02,19,93,80,15,41
2024-03,19,87,78,14,38
2024-04,17,85,76,14,35
2024-05,16,80,74,13,31
2024-06,15,82,74,15,34
2024-07,15,87,67,14,34
2024-08,16,82,74,14,33
2024-09,15,88,80,13,30
2024-10,19,95,82,15,29
2024-11,17,86,81,13,34
2024-12,14,81,76,12,35
2025-01,17,89,83,14,37
2025-02,19,89,82,15,35
2025-03,19,100,78,15,37
