Category: All categories

Month,PTSD: (Utah),Anxiety: (Utah),ADHD: (Utah),Aggressive: (Utah),Dementia: (Utah)
2021-06,16,84,42,13,15
2021-07,14,83,40,14,16
2021-08,13,85,47,13,14
2021-09,13,94,50,12,16
2021-10,13,90,53,13,18
2021-11,15,89,54,13,18
2021-12,11,79,40,13,14
2022-01,13,88,56,13,16
2022-02,16,97,61,13,17
2022-03,14,100,65,13,18
2022-04,17,94,60,15,20
2022-05,15,87,53,14,17
2022-06,14,87,50,12,17
2022-07,12,91,50,12,19
2022-08,14,90,62,14,18
2022-09,16,93,60,13,18
2022-10,17,88,65,13,18
2022-11,15,84,59,12,20
2022-12,14,82,62,12,19
2023-01,14,93,68,12,18
2023-02,17,99,76,13,28
2023-03,17,95,69,15,22
2023-04,16,90,65,14,22
2023-05,14,86,65,13,20
2023-06,15,84,62,15,21
2023-07,13,84,65,14,20
2023-08,13,86,62,14,22
2023-09,14,90,66,15,21
2023-10,16,90,64,12,19
2023-11,14,87,64,13,19
2023-12,13,80,63,13,20
2024-01,15,82,63,13,21
2024-02,17,89,69,14,24
2024-03,16,82,63,13,23
2024-04,15,86,65,15,21
2024-05,14,77,60,13,18
2024-06,13,87,66,13,22
2024-07,13,87,61,13,24
2024-08,13,84,63,15,21
2024-09,14,90,72,12,20
2024-10,13,96,72,13,22
2024-11,14,84,64,12,20
2024-12,12,80,68,13,23
2025-01,13,84,69,15,24
2025-02,18,96,75,15,24
2025-03,14,98,70,14,22
