Category: All categories

Month,PTSD: (Kentucky),Anxiety: (Kentucky),ADHD: (Kentucky),Aggressive: (Kentucky),Dementia: (Kentucky)
2021-05,12,86,34,13,20
2021-06,15,84,34,11,21
2021-07,13,84,37,12,21
2021-08,13,89,40,11,20
2021-09,13,95,41,11,22
2021-10,14,92,41,12,23
2021-11,14,85,43,11,23
2021-12,12,82,33,12,20
2022-01,13,88,42,11,21
2022-02,15,99,45,14,25
2022-03,15,98,50,14,23
2022-04,16,96,44,17,24
2022-05,15,79,41,13,21
2022-06,14,86,42,13,24
2022-07,13,89,38,15,25
2022-08,14,98,49,12,23
2022-09,13,93,51,12,21
2022-10,14,84,51,15,23
2022-11,16,85,47,14,24
2022-12,13,82,49,13,22
2023-01,15,93,53,14,25
2023-02,17,93,57,14,37
2023-03,16,90,57,15,27
2023-04,17,95,56,15,29
2023-05,14,84,59,14,25
2023-06,15,83,51,14,28
2023-07,13,86,47,13,27
2023-08,14,89,54,14,25
2023-09,14,90,55,13,25
2023-10,14,87,58,12,27
2023-11,14,87,55,14,27
2023-12,12,81,48,14,26
2024-01,11,90,55,13,29
2024-02,15,87,56,13,31
2024-03,15,83,55,13,28
2024-04,13,88,56,15,26
2024-05,13,74,51,14,23
2024-06,13,89,46,14,28
2024-07,12,89,50,13,29
2024-08,13,87,55,12,25
2024-09,13,86,57,14,26
2024-10,14,90,58,13,28
2024-11,13,82,55,14,27
2024-12,13,79,53,12,30
2025-01,13,88,60,12,31
2025-02,15,93,62,15,31
2025-03,16,100,58,16,31
