Category: All categories

Month,PTSD: (Georgia),Anxiety: (Georgia),ADHD: (Georgia),Aggressive: (Georgia),Dementia: (Georgia)
2021-05,14,78,32,14,20
2021-06,15,85,32,15,22
2021-07,14,85,33,13,21
2021-08,13,92,37,12,20
2021-09,14,94,37,12,21
2021-10,14,90,37,13,22
2021-11,14,77,38,12,23
2021-12,12,74,35,13,21
2022-01,14,90,40,14,23
2022-02,16,100,46,16,25
2022-03,16,98,46,17,25
2022-04,17,97,40,17,24
2022-05,15,79,40,15,22
2022-06,15,84,41,16,23
2022-07,15,92,40,15,24
2022-08,13,91,47,15,23
2022-09,14,90,47,15,23
2022-10,14,82,41,15,26
2022-11,14,80,40,14,25
2022-12,13,76,40,14,23
2023-01,15,90,52,15,26
2023-02,15,94,50,16,38
2023-03,15,90,48,14,30
2023-04,15,89,51,17,29
2023-05,14,84,49,16,26
2023-06,14,84,49,16,30
2023-07,13,84,47,15,27
2023-08,12,86,52,15,25
2023-09,14,84,54,16,26
2023-10,13,77,52,16,25
2023-11,14,80,50,15,29
2023-12,13,71,47,14,26
2024-01,13,80,46,14,28
2024-02,16,80,51,16,39
2024-03,16,73,46,15,28
2024-04,15,77,54,17,28
2024-05,12,69,49,16,24
2024-06,13,86,53,17,30
2024-07,12,84,49,16,30
2024-08,12,81,53,15,26
2024-09,12,76,53,15,24
2024-10,13,92,53,15,26
2024-11,13,75,50,15,27
2024-12,12,73,50,15,31
2025-01,14,81,55,15,30
2025-02,14,82,58,17,28
2025-03,14,95,59,17,30
