Category: All categories

Month,PTSD: (Texas),Anxiety: (Texas),ADHD: (Texas),Aggressive: (Texas),Dementia: (Texas)
2021-06,16,86,34,15,20
2021-07,14,91,37,15,20
2021-08,14,96,40,14,19
2021-09,16,95,42,14,20
2021-10,16,93,45,14,22
2021-11,15,89,45,15,20
2021-12,14,84,36,14,21
2022-01,14,88,44,15,20
2022-02,16,92,50,16,21
2022-03,15,95,53,15,22
2022-04,16,97,53,17,21
2022-05,17,92,46,16,21
2022-06,17,89,46,16,21
2022-07,16,92,46,15,21
2022-08,13,89,48,16,20
2022-09,15,89,53,15,21
2022-10,14,88,51,15,20
2022-11,16,84,49,14,22
2022-12,17,81,52,16,20
2023-01,15,92,56,15,22
2023-02,16,95,62,16,37
2023-03,15,95,62,16,27
2023-04,16,94,61,17,23
2023-05,15,86,60,15,23
2023-06,15,84,52,17,24
2023-07,14,84,51,16,25
2023-08,14,85,57,15,23
2023-09,14,89,60,16,25
2023-10,14,86,58,14,25
2023-11,14,88,56,16,24
2023-12,14,78,49,15,24
2024-01,13,80,54,14,24
2024-02,14,86,57,15,33
2024-03,14,85,53,16,27
2024-04,15,84,60,17,26
2024-05,14,76,52,15,23
2024-06,15,90,52,16,24
2024-07,13,93,56,15,26
2024-08,14,85,59,16,24
2024-09,14,94,64,17,23
2024-10,14,90,65,16,24
2024-11,14,85,58,16,22
2024-12,13,81,58,15,25
2025-01,13,80,57,15,26
2025-02,15,91,65,17,26
2025-03,15,100,58,17,30
