Category: All categories

Month,PTSD: (New York),Anxiety: (New York),ADHD: (New York),Aggressive: (New York),Dementia: (New York)
2021-06,13,82,28,11,20
2021-07,11,77,26,11,19
2021-08,11,82,27,11,20
2021-09,11,83,29,11,20
2021-10,13,86,36,11,21
2021-11,13,84,36,11,21
2021-12,12,79,31,12,22
2022-01,12,90,39,12,21
2022-02,13,95,44,13,21
2022-03,14,95,47,14,22
2022-04,15,92,44,13,21
2022-05,15,89,41,14,21
2022-06,14,85,40,13,22
2022-07,13,82,39,13,23
2022-08,11,83,41,12,22
2022-09,12,87,42,12,21
2022-10,14,86,45,12,25
2022-11,13,82,44,12,22
2022-12,12,81,46,12,23
2023-01,13,92,49,12,23
2023-02,14,89,52,12,37
2023-03,14,94,58,14,28
2023-04,14,93,55,14,24
2023-05,14,80,57,13,24
2023-06,12,80,47,13,23
2023-07,11,80,43,12,23
2023-08,12,82,48,13,25
2023-09,11,80,48,12,23
2023-10,13,84,50,13,23
2023-11,13,80,52,12,23
2023-12,12,77,48,12,23
2024-01,12,80,48,11,25
2024-02,14,87,56,12,34
2024-03,13,86,54,13,26
2024-04,14,87,54,13,26
2024-05,13,81,51,13,24
2024-06,12,82,51,12,23
2024-07,12,84,48,13,26
2024-08,12,85,51,13,25
2024-09,12,84,56,12,24
2024-10,13,90,58,13,25
2024-11,12,82,55,13,24
2024-12,12,79,53,12,28
2025-01,13,85,56,13,28
2025-02,13,86,56,13,28
2025-03,13,98,57,13,30
