Category: All categories

Month,PTSD: (Indiana),Anxiety: (Indiana),ADHD: (Indiana),Aggressive: (Indiana),Dementia: (Indiana)
2021-05,12,73,36,12,19
2021-06,14,84,32,11,21
2021-07,11,79,36,12,20
2021-08,10,79,37,12,19
2021-09,11,77,40,11,20
2021-10,16,84,44,12,22
2021-11,13,80,42,12,21
2021-12,11,82,38,12,21
2022-01,12,82,40,11,22
2022-02,14,90,47,14,24
2022-03,14,87,50,14,26
2022-04,14,86,47,16,23
2022-05,13,77,43,14,22
2022-06,13,79,38,13,26
2022-07,12,82,38,13,25
2022-08,11,78,47,14,23
2022-09,12,81,51,14,25
2022-10,13,83,48,13,26
2022-11,13,77,49,14,24
2022-12,12,83,49,13,24
2023-01,13,85,54,13,24
2023-02,14,81,61,14,37
2023-03,13,86,55,14,31
2023-04,13,84,60,14,27
2023-05,13,82,53,15,27
2023-06,12,82,50,13,28
2023-07,11,70,47,15,26
2023-08,10,80,52,13,25
2023-09,13,80,58,15,26
2023-10,12,78,57,14,27
2023-11,12,80,52,14,28
2023-12,12,80,49,14,27
2024-01,11,88,50,13,27
2024-02,13,79,57,15,35
2024-03,12,72,54,15,26
2024-04,13,81,55,15,28
2024-05,11,67,48,15,26
2024-06,12,79,48,13,29
2024-07,12,76,49,14,29
2024-08,12,82,54,13,26
2024-09,12,79,59,14,27
2024-10,12,79,59,14,29
2024-11,12,81,57,13,27
2024-12,12,80,53,12,29
2025-01,11,78,59,14,28
2025-02,15,84,63,15,29
2025-03,13,100,58,15,30
