Category: All categories

Month,PTSD: (Florida),Anxiety: (Florida),ADHD: (Florida),Aggressive: (Florida),Dementia: (Florida)
2021-06,15,90,33,15,26
2021-07,15,89,32,15,23
2021-08,13,93,34,14,19
2021-09,13,95,36,13,23
2021-10,15,85,38,14,24
2021-11,15,89,36,15,24
2021-12,14,83,33,13,23
2022-01,14,89,34,16,24
2022-02,16,96,45,18,26
2022-03,16,100,47,17,26
2022-04,18,92,48,17,26
2022-05,16,89,42,17,23
2022-06,15,90,39,16,26
2022-07,15,94,40,17,23
2022-08,14,92,47,16,25
2022-09,14,84,45,16,23
2022-10,15,89,48,16,26
2022-11,15,82,45,15,27
2022-12,13,84,46,16,25
2023-01,14,91,50,16,25
2023-02,15,90,55,17,46
2023-03,15,93,53,17,32
2023-04,15,92,55,17,29
2023-05,14,92,56,16,27
2023-06,14,93,48,17,28
2023-07,14,91,49,17,29
2023-08,13,86,52,15,25
2023-09,13,88,53,17,28
2023-10,14,88,55,17,28
2023-11,14,84,48,17,29
2023-12,13,80,43,15,28
2024-01,12,83,49,15,29
2024-02,14,89,55,16,39
2024-03,14,82,52,16,30
2024-04,15,89,57,17,30
2024-05,14,80,51,16,29
2024-06,13,93,53,17,34
2024-07,13,93,50,16,34
2024-08,12,88,54,15,25
2024-09,14,88,57,16,28
2024-10,13,82,55,16,27
2024-11,14,86,50,17,28
2024-12,13,78,54,15,31
2025-01,14,84,57,17,31
2025-02,14,89,60,18,32
2025-03,14,98,58,18,36
