Category: All categories

Month,PTSD: (Colorado),Anxiety: (Colorado),ADHD: (Colorado),Aggressive: (Colorado),Dementia: (Colorado)
2021-05,15,89,40,14,22
2021-06,16,83,38,15,20
2021-07,15,87,40,15,20
2021-08,16,86,43,14,20
2021-09,14,92,47,13,21
2021-10,16,88,48,14,22
2021-11,16,86,48,13,21
2021-12,15,82,44,13,19
2022-01,13,93,51,14,22
2022-02,17,97,51,14,22
2022-03,18,87,57,15,23
2022-04,21,90,54,16,23
2022-05,17,84,49,14,21
2022-06,15,84,48,15,21
2022-07,16,87,49,15,24
2022-08,15,85,56,15,24
2022-09,15,85,57,15,23
2022-10,17,84,59,16,26
2022-11,16,76,57,14,23
2022-12,16,80,56,14,24
2023-01,15,87,60,14,25
2023-02,19,88,64,15,37
2023-03,17,85,67,15,30
2023-04,16,82,68,16,28
2023-05,17,81,62,15,27
2023-06,15,79,60,14,26
2023-07,15,84,56,15,27
2023-08,15,81,63,15,26
2023-09,14,83,66,15,27
2023-10,16,80,72,15,25
2023-11,17,85,64,15,30
2023-12,15,80,60,13,27
2024-01,15,77,59,14,29
2024-02,18,87,66,15,33
2024-03,16,90,60,15,29
2024-04,17,84,65,13,27
2024-05,16,80,62,14,26
2024-06,15,85,58,16,28
2024-07,15,86,62,15,31
2024-08,14,85,65,14,27
2024-09,16,84,68,14,29
2024-10,17,88,72,15,27
2024-11,14,84,68,14,28
2024-12,15,76,68,14,29
2025-01,14,89,72,13,29
2025-02,18,90,75,16,31
2025-03,18,100,72,15,33
