Category: All categories

Month,PTSD: (Minnesota),Anxiety: (Minnesota),ADHD: (Minnesota),Aggressive: (Minnesota),Dementia: (Minnesota)
2021-05,15,86,40,14,23
2021-06,16,76,35,13,22
2021-07,14,83,37,13,23
2021-08,13,80,40,12,21
2021-09,13,93,38,12,23
2021-10,14,86,43,11,24
2021-11,14,80,42,11,23
2021-12,14,79,35,11,23
2022-01,13,88,44,12,22
2022-02,15,94,54,13,23
2022-03,16,88,54,14,24
2022-04,16,88,54,13,25
2022-05,17,79,48,12,23
2022-06,14,76,43,15,25
2022-07,14,78,48,13,26
2022-08,15,80,50,14,26
2022-09,15,86,51,14,24
2022-10,16,87,56,13,25
2022-11,15,85,55,11,24
2022-12,15,77,51,11,26
2023-01,15,87,59,12,25
2023-02,16,89,61,13,39
2023-03,17,95,65,13,30
2023-04,17,80,64,14,28
2023-05,16,82,63,13,27
2023-06,13,78,53,12,31
2023-07,14,82,52,13,26
2023-08,13,81,57,13,27
2023-09,14,87,58,12,25
2023-10,16,83,63,12,29
2023-11,16,80,62,13,30
2023-12,14,83,56,12,29
2024-01,15,92,62,13,29
2024-02,16,100,65,14,34
2024-03,15,80,60,13,30
2024-04,16,83,65,14,31
2024-05,14,85,58,12,29
2024-06,12,74,56,13,29
2024-07,12,84,55,13,32
2024-08,12,79,59,11,29
2024-09,14,81,67,13,29
2024-10,15,83,66,12,30
2024-11,13,78,64,12,29
2024-12,15,70,64,12,32
2025-01,14,81,68,13,32
2025-02,17,98,73,13,30
2025-03,15,99,72,13,32
