Category: All categories

Month,PTSD: (North Carolina),Anxiety: (North Carolina),ADHD: (North Carolina),Aggressive: (North Carolina),Dementia: (North Carolina)
2021-05,13,79,33,13,21
2021-06,14,75,33,14,22
2021-07,15,84,34,12,22
2021-08,13,86,50,13,21
2021-09,13,85,41,12,23
2021-10,15,82,41,11,23
2021-11,15,80,40,12,22
2021-12,13,76,36,11,21
2022-01,12,80,41,13,23
2022-02,15,91,50,14,26
2022-03,15,100,47,16,25
2022-04,17,91,45,17,25
2022-05,16,85,40,15,23
2022-06,15,84,38,15,25
2022-07,15,86,37,15,25
2022-08,13,89,42,14,26
2022-09,15,84,48,14,25
2022-10,16,83,46,15,27
2022-11,15,79,47,14,26
2022-12,14,78,46,14,24
2023-01,16,96,53,14,28
2023-02,16,93,53,15,39
2023-03,17,89,54,16,30
2023-04,15,88,61,16,30
2023-05,14,83,55,15,29
2023-06,13,78,48,15,29
2023-07,14,79,46,15,27
2023-08,13,80,48,13,27
2023-09,14,89,53,15,27
2023-10,15,87,54,15,28
2023-11,15,87,50,16,28
2023-12,13,76,47,15,28
2024-01,13,84,51,13,29
2024-02,16,86,54,14,37
2024-03,15,80,50,16,31
2024-04,15,87,54,16,29
2024-05,13,74,51,16,26
2024-06,13,77,52,15,32
2024-07,12,87,49,13,32
2024-08,13,87,53,12,29
2024-09,14,89,57,14,28
2024-10,14,89,54,15,28
2024-11,15,84,56,14,28
2024-12,13,76,52,14,29
2025-01,13,91,53,14,31
2025-02,15,90,58,16,31
2025-03,16,96,62,16,31
