Category: All categories

Month,PTSD: (Kansas),Anxiety: (Kansas),ADHD: (Kansas),Aggressive: (Kansas),Dementia: (Kansas)
2021-05,14,80,41,13,23
2021-06,13,87,40,14,25
2021-07,14,87,39,14,24
2021-08,13,98,42,16,22
2021-09,13,92,45,16,22
2021-10,15,88,49,13,25
2021-11,15,94,44,15,27
2021-12,12,82,40,12,20
2022-01,12,92,47,13,25
2022-02,17,100,49,15,28
2022-03,15,92,54,17,27
2022-04,16,96,52,15,26
2022-05,16,85,45,16,25
2022-06,12,88,45,15,24
2022-07,16,85,43,15,27
2022-08,13,88,54,14,26
2022-09,15,91,54,14,23
2022-10,15,87,59,15,26
2022-11,15,84,53,14,26
2022-12,15,78,47,13,25
2023-01,14,94,59,13,26
2023-02,16,96,64,15,38
2023-03,16,96,63,16,30
2023-04,15,95,64,15,30
2023-05,15,82,57,15,27
2023-06,15,84,55,16,28
2023-07,13,85,52,15,28
2023-08,11,93,59,14,27
2023-09,14,86,63,14,27
2023-10,15,86,60,14,26
2023-11,15,92,62,15,30
2023-12,17,83,50,17,29
2024-01,12,86,55,14,27
2024-02,15,84,61,13,32
2024-03,14,87,52,12,28
2024-04,14,85,60,16,27
2024-05,13,74,59,15,28
2024-06,13,84,54,17,33
2024-07,13,86,55,14,31
2024-08,13,85,59,12,30
2024-09,16,92,66,14,26
2024-10,15,92,68,15,29
2024-11,17,84,55,15,28
2024-12,15,80,61,15,31
2025-01,13,87,61,15,29
2025-02,15,87,71,19,29
2025-03,16,98,64,16,29
