Category: All categories

Month,PTSD: (Oklahoma),Anxiety: (Oklahoma),ADHD: (Oklahoma),Aggressive: (Oklahoma),Dementia: (Oklahoma)
2021-05,14,81,36,14,21
2021-06,15,80,36,12,22
2021-07,16,81,37,15,20
2021-08,16,92,40,12,19
2021-09,16,91,43,12,20
2021-10,15,94,43,13,21
2021-11,13,77,42,11,20
2021-12,14,81,38,12,21
2022-01,13,89,40,13,22
2022-02,17,92,45,16,23
2022-03,17,100,53,17,23
2022-04,16,90,52,18,21
2022-05,18,87,41,16,22
2022-06,16,86,42,15,22
2022-07,15,87,45,16,24
2022-08,15,90,50,14,27
2022-09,16,88,55,16,23
2022-10,16,88,53,16,25
2022-11,17,79,49,14,25
2022-12,13,78,50,13,23
2023-01,15,83,57,15,23
2023-02,16,90,61,18,37
2023-03,17,91,64,17,29
2023-04,16,82,59,17,27
2023-05,16,82,62,16,27
2023-06,15,81,53,16,28
2023-07,14,84,51,17,26
2023-08,15,87,55,15,25
2023-09,14,82,61,17,26
2023-10,15,86,60,16,24
2023-11,14,83,51,16,28
2023-12,15,81,52,15,28
2024-01,12,74,49,15,28
2024-02,15,82,57,17,31
2024-03,13,83,52,17,26
2024-04,15,86,57,18,26
2024-05,15,77,53,16,23
2024-06,16,83,51,16,26
2024-07,13,92,53,13,31
2024-08,14,85,60,14,26
2024-09,16,81,63,16,26
2024-10,15,91,62,16,25
2024-11,14,76,54,16,28
2024-12,13,80,52,16,30
2025-01,13,84,60,16,30
2025-02,15,90,59,16,28
2025-03,14,97,60,17,28
