Category: All categories

Month,PTSD: (Louisiana),Anxiety: (Louisiana),ADHD: (Louisiana),Aggressive: (Louisiana),Dementia: (Louisiana)
2021-05,13,81,33,12,20
2021-06,14,82,29,13,21
2021-07,15,81,31,13,20
2021-08,12,90,33,11,18
2021-09,12,86,35,11,21
2021-10,13,89,37,12,19
2021-11,13,84,33,13,24
2021-12,14,73,31,11,20
2022-01,13,82,34,12,21
2022-02,15,91,42,13,23
2022-03,15,90,42,16,22
2022-04,17,92,43,16,24
2022-05,14,92,37,16,20
2022-06,14,83,37,15,23
2022-07,15,88,38,13,26
2022-08,14,94,44,14,24
2022-09,16,89,45,15,23
2022-10,15,88,45,16,25
2022-11,15,84,41,14,25
2022-12,12,82,44,15,23
2023-01,14,93,48,13,24
2023-02,14,94,50,15,34
2023-03,15,90,53,17,29
2023-04,16,86,52,15,29
2023-05,14,81,46,16,27
2023-06,15,82,44,16,27
2023-07,13,85,48,14,28
2023-08,13,84,51,16,27
2023-09,12,94,60,17,27
2023-10,13,90,54,14,27
2023-11,15,83,47,16,27
2023-12,11,76,39,15,24
2024-01,12,86,44,14,29
2024-02,15,87,52,16,34
2024-03,12,81,50,16,28
2024-04,15,86,48,16,29
2024-05,12,79,47,14,26
2024-06,14,85,45,13,29
2024-07,12,88,44,15,32
2024-08,12,91,53,15,27
2024-09,14,91,52,15,22
2024-10,13,91,58,16,27
2024-11,13,83,50,15,28
2024-12,13,76,46,14,26
2025-01,13,85,50,17,28
2025-02,15,91,53,17,30
2025-03,14,100,52,18,31
